item_no,role_noun,role_noun_EN,role_noun_DE,Phrase1,Phrase2,Phrase1_EN,Phrase2_EN,Phrase1_DE,Phrase2_DE,Continuation,continuation_EN,exp_answer,déterminant,filler_type
1,cardinaux,cardinals,Kardinäle,Les cardinaux montaient dans le bus.,"Etant donné le soleil, plusieurs hommes portaient un chapeau.",The cardinals were getting on the bus.,"Given the sun, several of the men were wearing hats.",Die Kardinäle stiegen in den Bus.,Angesichts der Sonne trugen mehrere der Männer einen Hut.,h,men,yes,plusieurs,lexical_gender
2,Femme de chambre,chambermaids,Zimmermädchen,Les femmes de chambres traversaient le hall.,"Etant donné le mauvais temps, la majorité des femmes portaient un bonnet.",The chambermaids were crossing the hall.,"Given the bad weather, most of the women were wearing hats.",Die Zimmermädchen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der Frauen eine Mütze.,f,women,yes,majorité,lexical_gender
3,Frères,brothers,Brüder,Les frères montaient dans le car.,"Etant donné le beau temps, quelques hommes portaient un short.",The brothers were getting on the bus.,"Given the good weather, a few of the men were wearing shorts.",Die Brüder stiegen in den Reisebus.,Bei schönem Wetter trugen einige der Männer Shorts.,h,men,yes,plusieurs,lexical_gender
4,Garçons d'étage,bellboys,Etagenjungen,Les garçons d'étage marchaient dans la ville.,"Après une très longue journée, la plupart des hommes semblaient vouloir partir.",The bellboys were walking in the city.,"After a very long day, most of the men seemed to want to leave.",Die Etagenjungen gingen durch die Stadt.,Nach einem sehr langen Tag schienen die meisten der Männer gehen zu wollen.,h,men,yes,plupart,lexical_gender
5,Grand-mères,grandmothers,Großmütter,Les grand-mères attendaient sur un banc.,"A cause du temps nuageux, un des hommes portait un imperméable.",The grandmothers were waiting on a bench.,"Because of the cloudy weather, one of the men was wearing a raincoat.",Die Großmütter warteten auf einer Bank.,Wegen des wolkigen Wetters trug einer der Männer einen Regenmantel.,h,men,non,un,lexical_gender
6,Grand-pères,grandfathers,Großväter,Les grand-pères marchaient à travers la place.,"A cause de la chaleur, plusieurs femmes n'avaient pas de veste.",The grandfathers were walking across the square.,"Because of the heat, several of the women were not wearing jackets.",Die Großväter gingen über den Platz.,Aufgrund der Hitze hatten mehrere der Frauen keine Jacke.,f,women,non,plusieurs,lexical_gender
7,Hommes d'affaire,businessmen,Geschäftsmänner,Les hommes d'affaire étaient déjà au travail.,On pouvait voir que plusieurs hommes étaient vraiment calmes.,The businessmen were already at work.,It was evident that several of the men were really calm.,Die Geschäftsleute waren schon bei der Arbeit.,"Man konnte sehen, dass mehrere der Männer wirklich ruhig waren.",h,men,yes,quelques,lexical_gender
8,Jeunes filles au-pair,au pair girls,Au-pair-Mädchen,Les jeunes filles au-pair allaient au supermarché.,"Du mauvais temps étant prévu, une des femmes avait un parapluie.",The au pair girls were going to the supermarket.,"With bad weather expected, one of the women had an umbrella.",Die Au-pair-Mädchen gingen zum Supermarkt.,"Da schlechtes Wetter vorhergesagt wurde, hatte eine der Frauen einen Regenschirm.",f,women,yes,un,lexical_gender
9,Mamies,grannies,Omas,Les mamies attendaient près de la barrière.,"Après un certain temps, la plupart des hommes semblaient vouloir s'en aller.",The grannies were waiting near the barrier.,"After a while, most of the men seemed to want to leave.",Die Omas warteten in der Nähe der Schranke.,Nach einiger Zeit schienen die meisten der Männer gehen zu wollen.,h,men,non,plupart,lexical_gender
10,Mères,mothers,Mütter,Les mères sortaient avec précipitation.,On pouvait voir que la plupart des femmes étaient vraiment triste.,The mothers were leaving hastily.,It was evident that most of the women were really sad.,Die Mütter gingen eilig hinaus.,"Man konnte sehen, dass die meisten der Frauen wirklich traurig waren.",f,women,yes,plupart,lexical_gender
11,Moines,monks,Mönche,Les moines entraient dans l'immeuble.,Il était évident que la majorité des hommes étaient vraiment en colère.,The monks were entering the building.,It was obvious that the majority of the men were really angry.,Die Mönche betraten das Gebäude.,"Es war offensichtlich, dass die Mehrheit der Männer wirklich wütend war.",h,men,yes,majorité,lexical_gender
12,Nonnes,nuns,Nonnen,Les nonnes marchaient dans le village.,"A la fin de la journée, une des femmes semblait vouloir faire une pause.",The nuns were walking in the village.,"At the end of the day, one of the women seemed to want a break.",Die Nonnen gingen durch das Dorf.,Am Ende des Tages schien eine der Frauen eine Pause machen zu wollen.,f,women,yes,un,lexical_gender
13,Oncles,uncles,Onkel,Les oncles traversaient le village.,"Après un certain temps, la majorité des femmes semblaient vouloir rentrer.",The uncles were crossing the village.,"After a while, the majority of the women seemed to want to go home.",Die Onkel durchquerten das Dorf.,Nach einiger Zeit schienen die meisten der Frauen nach Hause zu wollen.,f,women,non,majorité,lexical_gender
14,Papys,grandpas,Opas,Les papys sortaient de l'hôtel. ,"Du beau temps étant prévu, une partie des femmes portaient un chapeau.",The grandpas were leaving the hotel.,"With good weather expected, some of the women were wearing hats.",Die Opas verließen das Hotel.,Bei gutem Wetter trugen einige der Frauen einen Hut.,f,women,non,partie,lexical_gender
15,Pères,fathers,Väter,Les pères étaient déjà à la gare.,"Après une très longue journée, la majorité des hommes semblaient vouloir rentrer.",The fathers were already at the station.,"After a very long day, the majority of the men seemed to want to go home.",Die Väter waren bereits am Bahnhof.,Nach einem sehr langen Tag schien die Mehrheit der Männer nach Hause zu wollen.,h,men,yes,majorité,lexical_gender
16,Princesses,princesses,Prinzessinnen,Les princesses attendaient sur les marches.,Il était évident qu'une partie des hommes étaient vraiment de bonne humeur.,The princesses were waiting on the steps.,It was obvious that some of the men were in a really good mood.,Die Prinzessinnen warteten auf den Stufen.,"Es war offensichtlich, dass einige der Männer wirklich guter Laune waren.",h,men,non,partie,lexical_gender
17,Princes,princes,Prinzen,Les princes sortaient du château.,On pouvait remarquer qu'une des femmes était vraiment en colère.,The princes were leaving the castle.,It was noticeable that one of the women was really angry.,Die Prinzen verließen das Schloss.,"Man konnte bemerken, dass eine der Frauen wirklich wütend war.",f,women,non,un,lexical_gender
18,Reines,queens,Königinnen,Les reines descendaient les escaliers.,On pouvait voir qu'un des hommes était vraiment de bonne humeur.,The queens were descending the stairs.,It was evident that one of the men was in a really good mood.,Die Königinnen gingen die Treppe hinunter.,"Man konnte sehen, dass einer der Männer wirklich guter Laune war.",h,men,non,un,lexical_gender
19,Rois,kings,Könige,Les rois traversaient le parc.,"Après un certain temps, plusieurs femmes semblaient vouloir faire une pause.",The kings were crossing the park.,"After a while, several of the women seemed to want a break.",Die Könige durchquerten den Park.,Nach einiger Zeit schienen mehrere der Frauen eine Pause machen zu wollen.,f,women,non,plusieurs,lexical_gender
20,Sage-femmes,midwives,Hebammen,Les sages-femmes entraient dans l'hôpital.,"Etant donné le beau temps, une partie des femmes n'avaient pas de veste.",The midwives were entering the hospital.,"Given the good weather, some of the women were not wearing jackets.",Die Hebammen betraten das Krankenhaus.,Angesichts des guten Wetters hatten einige der Frauen keine Jacke.,f,women,yes,partie,lexical_gender
21,Soeurs,sisters,Schwestern,Les soeurs entraient dans l'aéroport.,On pouvait remarquer que quelques hommes étaient vraiment tristes.,The sisters were entering the airport.,It was noticeable that a few of the men were really sad.,Die Schwestern betraten den Flughafen.,"Man konnte bemerken, dass einige der Männer wirklich traurig waren.",h,men,non,quelques,lexical_gender
22,Tantes,aunts,Tanten,Les tantes étaient déjà en pause.,On pouvait remarquer qu'un des hommes était vraiment calme.,The aunts were already on break.,It was noticeable that one of the men was really calm.,Die Tanten machten schon Pause.,"Man konnte bemerken, dass einer der Männer wirklich ruhig war.",h,men,non,un,lexical_gender
23,Belles-soeurs,sisters-in-law,Schwägerinnen,Les belles-soeurs avaient l'air très malades.,Il était évident que la majorité des hommes étaient en bonne santé.,The sisters-in-law looked very sick.,It was obvious that the majority of the men were in good health.,Die Schwägerinnen sahen sehr krank aus.,"Es war offensichtlich, dass die Mehrheit der Männer gesund war.",h,men,non,majorité,lexical_gender
24,Jeunes hommes,young men,Junge Männer,Les jeunes hommes allaient à l'hopital.,On pouvait voir que quelques femmes avaient l'air vraiment malades.,The young men were going to the hospital.,It was evident that a few of the women looked really sick.,Die jungen Männer gingen ins Krankenhaus.,"Man konnte sehen, dass einige der Frauen wirklich krank aussahen.",f,women,non,quelques,lexical_gender
25,Hôtesses de l'air,flight attendants,Flugbegleiterinnen,Les hôtesses de l'air sortaient de l'avion.,"Après une si longue journée, la plupart des hommes semblaient vouloir rentrer.",The flight attendants were getting off the plane.,"After such a long day, most of the men seemed to want to go home.",Die Flugbegleiterinnen stiegen aus dem Flugzeug.,Nach einem so langen Tag schien die Mehrheit der Männer nach Hause zu wollen.,h,men,non,plupart,lexical_gender
26,Stewards,stewards,Stewards,Les stewards étaient déjà au lieu de rendez-vous.,"Après un certain temps, plusieurs femmes semblaient vouloir s'en aller.",The stewards were already at the meeting place.,"After a while, several of the women seemed to want to leave.",Die Stewards waren schon am Treffpunkt.,Nach einiger Zeit schienen mehrere der Frauen gehen zu wollen.,f,women,non,plusieurs,lexical_gender
27,Demoiselles d'honneur,bridesmaids,Brautjungfern,Les demoiselles d'honneur descendaient les marches.,"Après une si longue journée, une partie des hommes semblaient vouloir partir.",The bridesmaids were descending the steps.,"After such a long day, some of the men seemed to want to leave.",Die Brautjungfern gingen die Stufen hinunter.,Nach einem so langen Tag schien ein Teil der Männer gehen zu wollen.,h,men,non,partie,lexical_gender
28,Femme de ménage,housemaid,Putzfrauen,Les femmes de ménage entraient dans la maison.,"A la fin de la journée, quelques hommes semblaient vouloir faire une pause.",The housemaids were entering the house.,"At the end of the day, a few of the men seemed to want a break.",Die Putzfrauen betraten das Haus.,Am Ende des Tages schienen einige der Männer eine Pause machen zu wollen.,h,men,non,quelques,lexical_gender
29,Beaux-pères,fathers-in-law,Schwiegerväter,Les beaux-pères rentraient du travail.,"Au bout d'un certain temps, quelques femmes semblaient vouloir faire demi-tour.",The fathers-in-law were coming back from work.,"After a while, a few of the women seemed to want to turn back.",Die Schwiegerväter kamen von der Arbeit zurück.,Nach einiger Zeit schienen einige der Frauen umkehren zu wollen.,f,women,non,quelques,lexical_gender
30,Belles-mères,mothers-in-law,Schwiegermütter,Les belles-mères se parlaient calmement.,"Au bout d'un certain temps, une partie des hommes semblaient vouloir s'en aller.",The mothers-in-law were talking calmly.,"After a while, some of the men seemed to want to leave.",Die Schwiegermütter unterhielten sich ruhig.,Nach einiger Zeit schien ein Teil der Männer gehen zu wollen.,h,men,non,partie,lexical_gender
31,Nièces,nieces,Nichten,Les nièces se félicitaient du résultat.,Il était évident que la majorité des garcons étaient vraiment tristes.,The nieces were congratulating each other on the result.,It was obvious that the majority of the boys were really sad.,Die Nichten freuten sich über das Ergebnis.,"Es war offensichtlich, dass die Mehrheit der Jungen wirklich traurig war.",h,men,non,majorité,lexical_gender
32,Beaux-frères,brothers-in-law,Schwager,Les beaux-frères avaient l'air vraiment tristes.,On pouvait remarquer que plusieurs femmes étaient de très bonne humeur.,The brothers-in-law looked really sad.,It was noticeable that several of the women were in a very good mood.,Die Schwager wirkten wirklich traurig.,"Man konnte bemerken, dass mehrere der Frauen sehr guter Laune waren.",f,women,non,plusieurs,lexical_gender
33,Maris,husbands,Ehemänner,Les maris discutaient vivement.,"Au bout d'un certain temps, une partie des femmes semblaient vouloir partir.",The husbands were arguing loudly.,"After a while, some of the women seemed to want to leave.",Die Ehemänner diskutierten lebhaft.,Nach einiger Zeit schien ein Teil der Frauen gehen zu wollen.,f,women,non,partie,lexical_gender
34,Propriétaires,landlords,Eigentümer,Les propriétaires rentraient dans la nuit.,"Etant donné le beau temps, la plupart des femmes portaient des lunettes de soleil.",The landlords were coming back at night.,"Given the good weather, most of the women were wearing sunglasses.",Die Eigentümer kamen in der Nacht nach Hause.,Angesichts des guten Wetters trugen die meisten der Frauen Sonnenbrillen.,f,women,non,plupart,context_incongr
35,Allergologues,allergists,Allergologen,Les allergologues profitaient du soleil.,"Etant donné le mauvais temps, un des hommes portait un imperméable.",The allergists were enjoying the sun.,"Given the bad weather, one of the men was wearing a raincoat.",Die Allergologen genossen die Sonne.,Aufgrund des schlechten Wetters trug einer der Männer einen Regenmantel.,h,men,non,plupart,context_incongr
36,Choréographes,choreographers,Choreographen,Les chorégraphes attendaient sous la pluie.,"Comme il faisait beau, une partie des hommes portaient un t-shirt.",The choreographers were waiting in the rain.,"Since it was sunny, some of the men were wearing t-shirts.",Die Choreographen warteten im Regen.,"Da es schön war, trugen einige der Männer ein T-Shirt.",h,men,non,partie,context_incongr
37,Fonctionnaires,civil servants,Beamte,Les fonctionnaires se protégeaient de la chaleur.,"Comme il faisait froid, une des femmes portait un anorak.",The civil servants were protecting themselves from the heat.,"Since it was cold, one of the women was wearing a parka.",Die Beamten schützten sich vor der Hitze.,"Da es kalt war, trug eine der Frauen eine Winterjacke.",f,women,non,un,context_incongr
38,Cyclistes,cyclists,Radfahrer,Les cyclistes se protégeaient de la pluie.,"Comme il faisait beau, plusieurs femmes portaient un chapeau.",The cyclists were protecting themselves from the rain.,"Since it was sunny, several of the women were wearing hats.",Die Radfahrer schützten sich vor dem Regen.,"Da es schön war, trugen mehrere der Frauen einen Hut.",f,women,non,plusieurs,context_incongr
39,Universitaires,academics,Akademiker,Les universitaires regardaient les flocons de neige.,"A cause de la chaleur, une partie des femmes n'avaient pas de veste.",The academics were watching the snowflakes.,"Because of the heat, some of the women were not wearing jackets.",Die Akademiker sahen die Schneeflocken an.,Wegen der Hitze hatten einige der Frauen keine Jacke.,f,women,non,partie,context_incongr
40,Oenologues,oenologists,Önologen,Les oenologues dégustaient du vin au soleil.,"A cause de la pluie, quelques hommes avaient un parapluie.",The oenologists were tasting wine in the sun.,"Because of the rain, a few of the men had umbrellas.",Die Önologen genossen Wein in der Sonne.,Wegen des Regens hatten einige der Männer einen Regenschirm.,h,men,non,quelques,context_incongr
41,Arbitres,referees,Schiedsrichter,Les arbitres regardaient le match sous la pluie.,"A cause du beau temps, la plupart des hommes portaient un short.",The referees were watching the match in the rain.,"Because of the good weather, most of the men were wearing shorts.",Die Schiedsrichter sahen das Spiel im Regen.,Aufgrund des guten Wetters trugen die meisten der Männer Shorts.,h,men,non,plupart,context_incongr
42,Bénévoles,volunteers,Freiwillige,Les bénévoles profitaient du soleil.,"Comme il pleuvait, la plupart des femmes portaient un anorak.",The volunteers were enjoying the sun.,"Since it was raining, most of the women were wearing parkas.",Die Freiwilligen genossen die Sonne.,"Da es regnete, trugen die meisten der Frauen eine Winterjacke.",f,women,non,plupart,context_incongr
43,Vétérinaires,veterinarians,Tierärzte,Les vétérinaires regardaient la pluie tomber.,"Comme il faisait beau, la majorité des hommes portaient des lunettes de soleil.",The veterinarians were watching the rain fall.,"Since it was sunny, the majority of the men were wearing sunglasses.",Die Tierärzte sahen den Regen fallen.,Bei schönem Wetter trug die Mehrheit der Männer Sonnenbrillen.,h,men,non,majorité,context_incongr
44,Archéologues,archaeologists,Archäologen,Les archéologues marchaient sous la tempête de neige.,"Etant donné la chaleur, quelques femmes portaient un t-shirt.",The archaeologists were walking in the snowstorm.,"Given the heat, a few of the women were wearing t-shirts.",Die Archäologen gingen durch den Schneesturm.,Angesichts der Hitze trugen einige der Frauen ein T-Shirt.,f,women,non,quelques,context_incongr
