phrase1,phrase2_cut,ante_noun,ante_gender,phrases_cut,next_10,gender,gramm_gender,ref
Die Eigentümer*innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Eigentümer*innen,star,Die Eigentümer*innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenschirme. Die E,neutral,masculine,no
Die Eigentümer:innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Eigentümer:innen,colon,Die Eigentümer:innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenschirme. Die E,neutral,masculine,no
Die Eigentümer_innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Eigentümer_innen,underscore,Die Eigentümer_innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenschirme. Die E,neutral,masculine,no
Die EigentümerInnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,EigentümerInnen,big_i,Die EigentümerInnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenschirme. Die E,neutral,masculine,no
Die Allergologen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Allergologen,masc,Die Allergologen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Allergologen Regenmäntel,masculine,masculine,yes
Die Allergologinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Allergologinnen,fem,Die Allergologinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucher Mäntel und Schir,masculine,masculine,no
Die Allergologinnen und Allergologen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Allergologinnen und Allergologen,coord_f,Die Allergologinnen und Allergologen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucherinnen und Besucher Regensch,masc_fem,masc_fem,no
Die Allergologen und Allergologinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Allergologen und Allergologinnen,coord_m,Die Allergologen und Allergologinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Allergologen und Allergologinnen Reg,masc_fem,masc_fem,yes
Die Allergolog*innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Allergolog*innen,star,Die Allergolog*innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucher*innen Mäntel und,neutral,neutral,no
Die Allergolog:innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Allergolog:innen,colon,Die Allergolog:innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Allergolog:innen Regenmänt,neutral,neutral,yes
Die Allergolog_innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Allergolog_innen,underscore,Die Allergolog_innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Allergolog_innen Regenmänt,neutral,neutral,yes
Die AllergologInnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,AllergologInnen,big_i,Die AllergologInnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,BesucherInnen Regenschirme.,neutral,neutral,no
Die Choreographen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Choreographen,masc,Die Choreographen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tänzer Regenmäntel.,masculine,masculine,no
Die Choreographinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Choreographinnen,fem,Die Choreographinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tänzerinnen Regenmäntel,feminine,feminine,no
Die Choreographinnen und Choreographen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Choreographinnen und Choreographen,coord_f,Die Choreographinnen und Choreographen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tänzerinnen und Tänzer Regen,masc_fem,masc_fem,no
Die Choreographen und Choreographinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Choreographen und Choreographinnen,coord_m,Die Choreographen und Choreographinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tänzerinnen und Tänzer Regen,masc_fem,masc_fem,no
Die Choreograph*innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Choreograph*innen,star,Die Choreograph*innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tänzer*innen Regenmänt,neutral,neutral,no
Die Choreograph:innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Choreograph:innen,colon,Die Choreograph:innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tänzer:innen Regenmänt,neutral,neutral,no
Die Choreograph_innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Choreograph_innen,underscore,Die Choreograph_innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tänzer_innen Regenmänt,neutral,neutral,no
Die ChoreographInnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,ChoreographInnen,big_i,Die ChoreographInnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,TänzerInnen Regenschirme.,neutral,neutral,no
Die Beamte durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Beamte,masc,Die Beamte durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Beamten Regenmäntel.,masculine,masculine,yes
Die Beamtinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Beamtinnen,fem,Die Beamtinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Beamtinnen Regenmäntel.,feminine,feminine,yes
Die Beamtinnen und Beamte durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Beamtinnen und Beamte,coord_f,Die Beamtinnen und Beamte durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Beamtinnen und Beamten Regenm,masc_fem,masc_fem,yes
Die Beamte und Beamtinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Beamte und Beamtinnen,coord_m,Die Beamte und Beamtinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Beamten und Beamtinnen Regenschir,masc_fem,masc_fem,yes
Die Beamt*innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Beamt*innen,star,Die Beamt*innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Beamt*innen Regenmäntel,neutral,neutral,yes
Die Beamt:innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Beamt:innen,colon,Die Beamt:innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Beamt:innen Regenmäntel,neutral,neutral,yes
Die Beamt_innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Beamt_innen,underscore,Die Beamt_innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Beamt_innen Regenschirme. Die,neutral,neutral,yes
Die BeamtInnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,BeamtInnen,big_i,Die BeamtInnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,BeamtInnen Regenschirme. Die,neutral,neutral,yes
Die Radfahrer durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Radfahrer,masc,Die Radfahrer durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,"Teilnehmer Regenkleidung.
",masculine,masculine,yes
Die Radfahrerinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Radfahrerinnen,fem,Die Radfahrerinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Teilnehmerinnen Regenkleidung.,feminine,feminine,yes
Die Radfahrerinnen und Radfahrer durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Radfahrerinnen und Radfahrer,coord_f,Die Radfahrerinnen und Radfahrer durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,"Teilnehmer Regenkleidung.
",masculine,masculine,yes
Die Radfahrer und Radfahrerinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Radfahrer und Radfahrerinnen,coord_m,Die Radfahrer und Radfahrerinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Teilnehmer und Teilnehmerinnen Regen,masc_fem,masc_fem,yes
Die Radfahrer*innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Radfahrer*innen,star,Die Radfahrer*innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Teilnehmer*innen Regenkleidung,neutral,neutral,yes
Die Radfahrer:innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Radfahrer:innen,colon,Die Radfahrer:innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Teilnehmer:innen Regenkleidung,neutral,neutral,yes
Die Radfahrer_innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Radfahrer_innen,underscore,Die Radfahrer_innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Teilnehmer_innen Regenkleidung,neutral,neutral,yes
Die RadfahrerInnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,RadfahrerInnen,big_i,Die RadfahrerInnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,TeilnehmerInnen Regenkleidung,neutral,neutral,yes
Die Akademiker durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Akademiker,masc,Die Akademiker durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Anwesenden Regenschirme. Die,neutral,neutral,yes
Die Akademikerinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Akademikerinnen,fem,Die Akademikerinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Frauen Regenmäntel. Die H,feminine,feminine,yes
Die Akademikerinnen und Akademiker durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Akademikerinnen und Akademiker,coord_f,Die Akademikerinnen und Akademiker durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenschirme. Die St,neutral,masculine,no
Die Akademiker und Akademikerinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Akademiker und Akademikerinnen,coord_m,Die Akademiker und Akademikerinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenschirme. Die Ak,neutral,masculine,no
Die Akademiker*innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Akademiker*innen,star,Die Akademiker*innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenschirme. Die Ak,neutral,masculine,no
Die Akademiker:innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Akademiker:innen,colon,Die Akademiker:innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Anwesenden Regenmäntel,neutral,neutral,yes
Die Akademiker_innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Akademiker_innen,underscore,Die Akademiker_innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenschirme. Die Ak,neutral,masculine,no
Die AkademikerInnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,AkademikerInnen,big_i,Die AkademikerInnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenschirme. Die Ak,neutral,masculine,no
Die Önologen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Önologen,masc,Die Önologen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Anwesenden Regenmäntel,neutral,neutral,yes
Die Önologinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Önologinnen,fem,Die Önologinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucher Regenmäntel.,masculine,masculine,no
Die Önologinnen und Önologen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Önologinnen und Önologen,coord_f,Die Önologinnen und Önologen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,jungen Leute Regenmäntel,neutral,masculine,yes
Die Önologen und Önologinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Önologen und Önologinnen,coord_m,Die Önologen und Önologinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenschirme. Die Ö,neutral,masculine,no
Die Önolog*innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Önolog*innen,star,Die Önolog*innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenmäntel.,neutral,masculine,no
Die Önolog:innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Önolog:innen,colon,Die Önolog:innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenmäntel.,neutral,masculine,no
Die Önolog_innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Önolog_innen,underscore,Die Önolog_innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Önolog_innen Regenmänt,neutral,neutral,yes
Die ÖnologInnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,ÖnologInnen,big_i,Die ÖnologInnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Gäste Regenschirme. Die Ö,neutral,masculine,no
Die Schiedsrichter durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichter,masc,Die Schiedsrichter durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichter Regenmänt,masculine,masculine,yes
Die Schiedsrichterinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichterinnen,fem,Die Schiedsrichterinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Spielerinnen lange Hosen. Die Sch,feminine,feminine,no
Die Schiedsrichterinnen und Schiedsrichter durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichterinnen und Schiedsrichter,coord_f,Die Schiedsrichterinnen und Schiedsrichter durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichterinnen und Schieds,masc_fem,masc_fem,yes
Die Schiedsrichter und Schiedsrichterinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichter und Schiedsrichterinnen,coord_m,Die Schiedsrichter und Schiedsrichterinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichter und Schiedsrich,masc_fem,masc_fem,yes
Die Schiedsrichter*innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichter*innen,star,Die Schiedsrichter*innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichter*innen Regenjack,neutral,neutral,yes
Die Schiedsrichter:innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichter:innen,colon,Die Schiedsrichter:innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichter:innen Regenjack,neutral,neutral,yes
Die Schiedsrichter_innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichter_innen,underscore,Die Schiedsrichter_innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Schiedsrichter_innen Regenjack,neutral,neutral,yes
Die SchiedsrichterInnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,SchiedsrichterInnen,big_i,Die SchiedsrichterInnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,SchiedsrichterInnen Regenjack,neutral,neutral,yes
Die Tierärzte durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Tierärzte,masc,Die Tierärzte durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tierärzte Regenmäntel,masculine,masculine,yes
Die Tierärztinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Tierärztinnen,fem,Die Tierärztinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucher Regenschirme. Die T,masculine,masculine,no
Die Tierärztinnen und Tierärzte durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Tierärztinnen und Tierärzte,coord_f,Die Tierärztinnen und Tierärzte durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tierärzte Regenmäntel,masculine,masculine,yes
Die Tierärzte und Tierärztinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Tierärzte und Tierärztinnen,coord_m,Die Tierärzte und Tierärztinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tierärzte und Tierärztinnen,masc_fem,masc_fem,yes
Die Tierärzt*innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Tierärzt*innen,star,Die Tierärzt*innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucher*innen Regenmänt,neutral,neutral,no
Die Tierärzt:innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Tierärzt:innen,colon,Die Tierärzt:innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tierärzt:innen Regenmä,neutral,neutral,yes
Die Tierärzt_innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Tierärzt_innen,underscore,Die Tierärzt_innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Tierärzt_innen Regenmä,neutral,neutral,yes
Die TierärztInnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,TierärztInnen,big_i,Die TierärztInnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,BesucherInnen Regenschirme.,neutral,neutral,no
Die Archäologen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Archäologen,masc,Die Archäologen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucher Regenmäntel.,masculine,masculine,no
Die Archäologinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Archäologinnen,fem,Die Archäologinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucher Regenmäntel und,masculine,masculine,no
Die Archäologinnen und Archäologen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Archäologinnen und Archäologen,coord_f,Die Archäologinnen und Archäologen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Teilnehmer Regenkleidung. Die,masculine,masculine,no
Die Archäologen und Archäologinnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Archäologen und Archäologinnen,coord_m,Die Archäologen und Archäologinnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucher und Besucherinnen Regensch,masc_fem,masc_fem,no
Die Archäolog*innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Archäolog*innen,star,Die Archäolog*innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucher*innen Regenjacken und,neutral,neutral,no
Die Archäolog:innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Archäolog:innen,colon,Die Archäolog:innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucher:innen Regenschirme.,neutral,neutral,no
Die Archäolog_innen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,Archäolog_innen,underscore,Die Archäolog_innen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,Besucher_innen Regenschirme.,neutral,neutral,no
Die ArchäologInnen durchquerten die Halle.,Aufgrund des schlechten Wetters trugen die meisten der,ArchäologInnen,big_i,Die ArchäologInnen durchquerten die Halle. Aufgrund des schlechten Wetters trugen die meisten der,BesucherInnen Regenschirme.,neutral,neutral,no