item_no,ante_noun,ante_gender,sentences,continuation,gender_a1,ref_a1,gender_a2,ref_a2,gender_a3,ref_a3,gender_mv,ref_mv
210,husbands,m,The husbands were congratulating each other on the result. It was obvious that the majority of the,wives were not happy with,m,yes,f,no,f,no,f,no
211,grandparents,n,"The grandparents were crossing the hall. Given the bad weather, most of the",people were staying at home,n,no,n,UNSURE,n,no,n,no
212,grandmothers,f,"The grandmothers were crossing the hall. Given the bad weather, most of the",grandmothers were wearing,f,yes,f,yes,f,yes,f,yes
213,grandfathers,m,"The grandfathers were crossing the hall. Given the bad weather, most of the",people were sitting in the,m,no,n,UNSURE,n,no,n,no
214,monarchs,n,"The monarchs were crossing the hall. Given the bad weather, most of the",monarchs were late.,n,yes,n,yes,n,yes,n,yes
215,queens,f,"The queens were crossing the hall. Given the bad weather, most of the",people were sitting in the,f,no,n,UNSURE,n,no,n,no
216,kings,m,"The kings were crossing the hall. Given the bad weather, most of the",kings were wearing a rain,m,yes,m,yes,m,yes,m,yes
217,siblings,n,"The siblings were crossing the hall. Given the bad weather, most of the",time they were walking in,n,no,n,yes,NULL,no,n,no
218,sisters,f,"The sisters were crossing the hall. Given the bad weather, most of the",people were inside.,f,no,n,UNSURE,n,no,n,no
219,brothers,m,"The brothers were crossing the hall. Given the bad weather, most of the",people were sitting in the,m,no,n,UNSURE,n,no,n,no
220,parents-in-law,n,"The parents-in-law were crossing the hall. Given the bad weather, most of the",guests had left. The,n,no,n,UNSURE,n,no,n,no
221,mothers-in-law,f,"The mothers-in-law were crossing the hall. Given the bad weather, most of the",guests were seated. The,f,no,n,UNSURE,n,no,n,no
222,fathers-in-law,m,"The fathers-in-law were crossing the hall. Given the bad weather, most of the",guests had left. The,m,no,n,UNSURE,n,no,n,no
223,parents,n,"The parents were crossing the hall. Given the bad weather, most of the",parents were wearing a coat,n,yes,n,yes,n,yes,n,yes
224,mothers,f,"The mothers were crossing the hall. Given the bad weather, most of the",mothers were carrying umbrellas,f,yes,f,yes,f,yes,f,yes
225,fathers,m,"The fathers were crossing the hall. Given the bad weather, most of the",fathers were late. The,m,yes,m,yes,m,yes,m,yes
226,children,n,"The children were crossing the hall. Given the bad weather, most of the",children were wearing rainco,n,yes,n,yes,n,yes,n,yes
227,daughters,f,"The daughters were crossing the hall. Given the bad weather, most of the",students were absent. Given,f,no,n,UNSURE,n,no,n,no
228,sons,m,"The sons were crossing the hall. Given the bad weather, most of the",boys were in a hurry,m,yes,m,yes,m,yes,m,yes
229,spouses,n,"The spouses were crossing the hall. Given the bad weather, most of the",guests were what? -,n,no,n,UNSURE,n,no,n,no
230,wives,f,"The wives were crossing the hall. Given the bad weather, most of the",husbands were waiting for them,f,yes,m,yes,m,no,m,yes
231,husbands,m,"The husbands were crossing the hall. Given the bad weather, most of the",wives were staying home.,m,yes,f,no,f,no,f,no
232,grandparents,n,"The grandparents were going to the supermarket. With bad weather expected, one of the",grandchildren gave Grandpa a,n,yes,n & m,yes,n,no,n,yes
233,grandmothers,f,"The grandmothers were going to the supermarket. With bad weather expected, one of the",grandmothers took an,f,yes,f,yes,f,yes,f,yes
234,grandfathers,m,"The grandfathers were going to the supermarket. With bad weather expected, one of the",grandfathers said to,m,yes,m,yes,m,yes,m,yes
235,monarchs,n,"The monarchs were going to the supermarket. With bad weather expected, one of the",monarchs decided to buy,n,yes,n,yes,n,yes,n,yes
236,queens,f,"The queens were going to the supermarket. With bad weather expected, one of the",queens asked the other to,f,yes,f,yes,f,yes,f,yes
237,kings,m,"The kings were going to the supermarket. With bad weather expected, one of the",kings wanted to buy a,m,yes,m,yes,m,yes,m,yes
238,siblings,n,"The siblings were going to the supermarket. With bad weather expected, one of the"," siblings said, ""It",n,yes,n,yes,n,yes,n,yes
239,sisters,f,"The sisters were going to the supermarket. With bad weather expected, one of the"," sisters said, ""Let",f,yes,f,yes,f,yes,f,yes
240,brothers,m,"The brothers were going to the supermarket. With bad weather expected, one of the",brothers decided to go immediately,m,yes,m,yes,m,yes,m,yes
241,parents-in-law,n,"The parents-in-law were going to the supermarket. With bad weather expected, one of the",children asked them to buy,n,no,n,yes,n,no,n,no
242,mothers-in-law,f,"The mothers-in-law were going to the supermarket. With bad weather expected, one of the",mothers-in-law went to,f,yes,f,yes,f,yes,f,yes
243,fathers-in-law,m,"The fathers-in-law were going to the supermarket. With bad weather expected, one of the",fathers-in-law asked the,m,yes,m,yes,m,yes,m,yes
244,parents,n,"The parents were going to the supermarket. With bad weather expected, one of the"," children asked, ""Will",n,yes,n,UNSURE,n,no,n,NULL
245,mothers,f,"The mothers were going to the supermarket. With bad weather expected, one of the"," mothers said, ""I",f,yes,f,yes,f,yes,f,yes
246,fathers,m,"The fathers were going to the supermarket. With bad weather expected, one of the",fathers asked the other to,m,yes,m,yes,m,yes,m,yes
247,children,n,"The children were going to the supermarket. With bad weather expected, one of the"," children asked, ""Will",n,yes,n,yes,n,yes,n,yes
248,daughters,f,"The daughters were going to the supermarket. With bad weather expected, one of the"," daughters said, ""I",f,yes,f,yes,f,yes,f,yes
249,sons,m,"The sons were going to the supermarket. With bad weather expected, one of the",sons asked their mother what,m,yes,m,yes,m,yes,m,yes
250,spouses,n,"The spouses were going to the supermarket. With bad weather expected, one of the",spouses said to the other,n,yes,n,yes,n,yes,n,yes
251,wives,f,"The wives were going to the supermarket. With bad weather expected, one of the"," wives said, ""I",f,yes,f,yes,f,yes,f,yes
252,husbands,m,"The husbands were going to the supermarket. With bad weather expected, one of the"," husbands said, ""I",m,yes,m,yes,m,yes,m,yes
253,grandparents,n,The grandparents were leaving hastily. It was evident that most of the,family had already left.,n,no,n,yes,n,no,n,no
254,grandmothers,f,The grandmothers were leaving hastily. It was evident that most of the,women were in a hurry,f,yes,f,yes,f,yes,f,yes
255,grandfathers,m,The grandfathers were leaving hastily. It was evident that most of the,people in the room were,m,no,n,UNSURE,n,no,n,no
256,monarchs,n,The monarchs were leaving hastily. It was evident that most of the,monarchs were flying in,n,no,n,yes,n,yes,n,yes
257,queens,f,The queens were leaving hastily. It was evident that most of the,workers were not going to,f,no,n,no,n,no,n,no
258,kings,m,The kings were leaving hastily. It was evident that most of the,people in the palace were,m,no,n,UNSURE,n,no,n,no
259,siblings,n,The siblings were leaving hastily. It was evident that most of the,items were left behind.,n,no,NULL,no,NULL,no,NULL,no
260,sisters,f,The sisters were leaving hastily. It was evident that most of the,things in the room had,f,no,NULL,no,NULL,no,NULL,no
261,brothers,m,The brothers were leaving hastily. It was evident that most of the,men were armed. The,m,yes,m,yes,m,yes,m,yes
262,parents-in-law,n,The parents-in-law were leaving hastily. It was evident that most of the,family were anxious to be,n,no,n,yes,n,NULL,n,NULL
263,mothers-in-law,f,The mothers-in-law were leaving hastily. It was evident that most of the,women were in a hurry,f,yes,f,yes,f,yes,f,yes
264,fathers-in-law,m,The fathers-in-law were leaving hastily. It was evident that most of the,women were not going to,m,no,f,no,f,no,f,no
265,parents,n,The parents were leaving hastily. It was evident that most of the,children were not aware of,n,no,n,no,n,no,n,no
266,mothers,f,The mothers were leaving hastily. It was evident that most of the,children had been taken away,f,no,n,no,n,no,n,no
267,fathers,m,The fathers were leaving hastily. It was evident that most of the,children had never seen their,m,no,n,UNSURE,n,no,n,no
268,children,n,The children were leaving hastily. It was evident that most of the,children were leaving the party,n,yes,n,yes,n,yes,n,yes
269,daughters,f,The daughters were leaving hastily. It was evident that most of the,family was leaving. The,f,no,n,yes,n,yes,n,yes
270,sons,m,The sons were leaving hastily. It was evident that most of the,men were in a hurry,n,no,m,yes,m,yes,m,yes
271,spouses,n,The spouses were leaving hastily. It was evident that most of the,guests were angry at the,n,no,n,yes,n,no,n,no
272,wives,f,The wives were leaving hastily. It was evident that most of the,men were not going to,f,yes,m,no,m,no,m,no
273,husbands,m,The husbands were leaving hastily. It was evident that most of the,women were not going to,m,yes,f,no,f,no,f,no
274,grandparents,n,"The grandparents were walking in the village. At the end of the day, one of the"," grandparents said, ""I",n,yes,n,yes,n,no,n,yes
275,grandmothers,f,"The grandmothers were walking in the village. At the end of the day, one of the"," grandmothers said,",f,yes,f,yes,f,yes,f,yes
276,grandfathers,m,"The grandfathers were walking in the village. At the end of the day, one of the"," grandfathers said,",m,yes,m,yes,m,yes,m,yes
277,monarchs,n,"The monarchs were walking in the village. At the end of the day, one of the"," monarchs said, """,n,yes,n,yes,n,yes,n,yes
278,queens,f,"The queens were walking in the village. At the end of the day, one of the"," queens said, ""I",f,yes,f,yes,f,yes,f,yes
279,kings,m,"The kings were walking in the village. At the end of the day, one of the"," kings said, ""I",m,yes,m,yes,m,yes,m,yes
280,siblings,n,"The siblings were walking in the village. At the end of the day, one of the",siblings was tired and said,n,no,n,yes,n,yes,n,yes
281,sisters,f,"The sisters were walking in the village. At the end of the day, one of the"," sisters said, ""I",n,yes,f,yes,f,yes,f,yes
282,brothers,m,"The brothers were walking in the village. At the end of the day, one of the",brothers said to the other,m,yes,m,yes,m,yes,m,yes
283,parents-in-law,n,"The parents-in-law were walking in the village. At the end of the day, one of the",parents-in-law said to,n,yes,n,yes,n,yes,n,yes
284,mothers-in-law,f,"The mothers-in-law were walking in the village. At the end of the day, one of the",mothers-in-law said to,f,yes,f,yes,f,yes,f,yes
285,fathers-in-law,m,"The fathers-in-law were walking in the village. At the end of the day, one of the",fathers-in-law said to,m,yes,m,yes,m,yes,m,yes
286,parents,n,"The parents were walking in the village. At the end of the day, one of the",parents said to the other,n,yes,n,yes,n,yes,n,yes
287,mothers,f,"The mothers were walking in the village. At the end of the day, one of the"," mothers said, ""I",f,yes,f,yes,f,yes,f,yes
288,fathers,m,"The fathers were walking in the village. At the end of the day, one of the"," fathers said, ""I",m,yes,m,yes,m,yes,m,yes
289,children,n,"The children were walking in the village. At the end of the day, one of the"," children said, ""I",n,yes,n,yes,n,yes,n,yes
290,daughters,f,"The daughters were walking in the village. At the end of the day, one of the"," daughters said, ""I",f,yes,f,yes,f,yes,f,yes
291,sons,m,"The sons were walking in the village. At the end of the day, one of the"," sons said, ""I",m,yes,m,yes,m,yes,m,yes
292,spouses,n,"The spouses were walking in the village. At the end of the day, one of the"," spouses said, ""I",n,yes,n,yes,n,yes,n,yes
293,wives,f,"The wives were walking in the village. At the end of the day, one of the"," wives said, ""I",f,yes,f,yes,f,yes,f,yes
294,husbands,m,"The husbands were walking in the village. At the end of the day, one of the"," husbands said, ""I",m,yes,m,yes,m,yes,m,yes
295,grandparents,n,"The grandparents were entering the hospital. Given the good weather, some of the",family members decided to take,n,no,n,no,n,no,n,no
296,grandmothers,f,"The grandmothers were entering the hospital. Given the good weather, some of the",grandmothers were entering,f,yes,f,yes,f,yes,f,yes
297,grandfathers,m,"The grandfathers were entering the hospital. Given the good weather, some of the",grandfathers were wearing,m,yes,m,yes,m,yes,m,yes
298,monarchs,n,"The monarchs were entering the hospital. Given the good weather, some of the",monarchs were flying around,n,yes,n,yes,n,yes,n,yes
299,queens,f,"The queens were entering the hospital. Given the good weather, some of the",patients were being wheeled,f,no,n,UNSURE,n,no,n,no
300,kings,m,"The kings were entering the hospital. Given the good weather, some of the",kings were wearing hats.,m,yes,m,yes,m,yes,m,yes
301,siblings,n,"The siblings were entering the hospital. Given the good weather, some of the",staff had left the windows,n,no,n,no,n,no,n,no
302,sisters,f,"The sisters were entering the hospital. Given the good weather, some of the",staff had placed potted,f,no,n,no,n,no,n,no
303,brothers,m,"The brothers were entering the hospital. Given the good weather, some of the",brothers decided to take a,m,yes,m,yes,m,yes,m,yes
304,parents-in-law,n,"The parents-in-law were entering the hospital. Given the good weather, some of the",patients were sitting on the,n,no,n,no,n,no,n,no
305,mothers-in-law,f,"The mothers-in-law were entering the hospital. Given the good weather, some of the",nurses opened the windows to,f,no,f,no,n,no,f,no
306,fathers-in-law,m,"The fathers-in-law were entering the hospital. Given the good weather, some of the",fathers-in-law were entering,m,yes,m,yes,m,yes,m,yes
307,parents,n,"The parents were entering the hospital. Given the good weather, some of the",parents were sitting on the,n,yes,n,yes,n,yes,n,yes
308,mothers,f,"The mothers were entering the hospital. Given the good weather, some of the",mothers wanted to take a,f,yes,f,yes,f,yes,f,yes
309,fathers,m,"The fathers were entering the hospital. Given the good weather, some of the",fathers were wearing shorts and,m,yes,m,yes,m,yes,m,yes
310,children,n,"The children were entering the hospital. Given the good weather, some of the",children were playing outside.,n,yes,n,yes,n,yes,n,yes
311,daughters,f,"The daughters were entering the hospital. Given the good weather, some of the",daughters were wearing shorts.,f,yes,f,yes,f,yes,f,yes
312,sons,m,"The sons were entering the hospital. Given the good weather, some of the",sons were wearing hats.,m,yes,m,yes,m,yes,m,yes
313,spouses,n,"The spouses were entering the hospital. Given the good weather, some of the",patients were being wheeled,n,no,n,UNSURE,n,no,n,no
314,wives,f,"The wives were entering the hospital. Given the good weather, some of the",husbands decided to take a,f,yes,m,no,m,no,m,no
315,husbands,m,"The husbands were entering the hospital. Given the good weather, some of the",husbands were wearing only shorts,m,yes,m,yes,m,yes,m,yes
316,grandparents,n,"The grandparents were walking across the square. Because of the heat, several of the",older people were tired.,n,yes,n,yes,n,no,n,yes
317,grandmothers,f,"The grandmothers were walking across the square. Because of the heat, several of the",grandmothers fainted,f,yes,f,yes,f,yes,f,yes
318,grandfathers,m,"The grandfathers were walking across the square. Because of the heat, several of the",grandfathers had taken,m,yes,m,yes,m,yes,m,yes
319,monarchs,n,"The monarchs were walking across the square. Because of the heat, several of the",monarchs began to wilt,n,yes,n,yes,n,yes,n,yes
320,queens,f,"The queens were walking across the square. Because of the heat, several of the",queens fainted and had,f,yes,f,yes,f,yes,f,yes
321,kings,m,"The kings were walking across the square. Because of the heat, several of the",kings had fallen asleep.,m,yes,m,yes,m,yes,m,yes
322,siblings,n,"The siblings were walking across the square. Because of the heat, several of the",children did what? Options,n,no,n,yes,n,no,n,no
323,sisters,f,"The sisters were walking across the square. Because of the heat, several of the",girls had taken off their,f,yes,f,yes,f,yes,f,yes
324,brothers,m,"The brothers were walking across the square. Because of the heat, several of the",men had removed their coats,m,yes,m,yes,m,yes,m,yes
325,parents-in-law,n,"The parents-in-law were walking across the square. Because of the heat, several of the",trees had been sprayed with,n,no,NULL,no,NULL,no,NULL,no
326,mothers-in-law,f,"The mothers-in-law were walking across the square. Because of the heat, several of the",women had tied their head,f,yes,f,yes,f,yes,f,yes
327,fathers-in-law,m,"The fathers-in-law were walking across the square. Because of the heat, several of the",men were barefooted,m,yes,m,yes,m,yes,m,yes
328,parents,n,"The parents were walking across the square. Because of the heat, several of the",children were carried on their,n,yes,n,UNSURE,n,no,n,NULL
329,mothers,f,"The mothers were walking across the square. Because of the heat, several of the",mothers were wearing hats.,f,yes,f,yes,f,yes,f,yes
330,fathers,m,"The fathers were walking across the square. Because of the heat, several of the",men had taken off their,m,yes,m,yes,m,yes,m,yes
331,children,n,"The children were walking across the square. Because of the heat, several of the"," children were ________.
",n,yes,n,yes,n,yes,n,yes
332,daughters,f,"The daughters were walking across the square. Because of the heat, several of the",girls took off their shoes,f,yes,f,yes,f,yes,f,yes
333,sons,m,"The sons were walking across the square. Because of the heat, several of the",boys were carrying watermel,m,yes,m,yes,m,yes,m,yes
334,spouses,n,"The spouses were walking across the square. Because of the heat, several of the",men were wearing only shorts,n,no,m,yes,n,yes,n,yes
335,wives,f,"The wives were walking across the square. Because of the heat, several of the",women had taken off their,f,yes,f,yes,f,yes,f,yes
336,husbands,m,"The husbands were walking across the square. Because of the heat, several of the",men had taken off their,m,yes,m,yes,m,yes,m,yes
337,grandparents,n,"The grandparents were crossing the village. After a while, the majority of the",children in the village came,n,no,n & NA,yes,n,no,n,no
338,grandmothers,f,"The grandmothers were crossing the village. After a while, the majority of the",grandmothers were joined,f,yes,f,yes,f,yes,f,yes
339,grandfathers,m,"The grandfathers were crossing the village. After a while, the majority of the",grandfathers were joined,m,yes,m,yes,m,yes,m,yes
340,monarchs,n,"The monarchs were crossing the village. After a while, the majority of the",monarchs had crossed the,n,yes,n,yes,n,yes,n,yes
341,queens,f,"The queens were crossing the village. After a while, the majority of the"," queens entered the castle,",f,yes,f,yes,f,yes,f,yes
342,kings,m,"The kings were crossing the village. After a while, the majority of the",villagers were able to see,m,no,n,yes,n,no,n,no
343,siblings,n,"The siblings were crossing the village. After a while, the majority of the",children were tired and gr,n,no,n,yes,n,yes,n,yes
344,sisters,f,"The sisters were crossing the village. After a while, the majority of the",people who were crossing the,f,no,n,yes,n,no,n,no
345,brothers,m,"The brothers were crossing the village. After a while, the majority of the",people who were in the,m,no,n,UNSURE,n,no,n,no
346,parents-in-law,n,"The parents-in-law were crossing the village. After a while, the majority of the",villagers came out to watch,n,no,n,no,n,no,n,no
347,mothers-in-law,f,"The mothers-in-law were crossing the village. After a while, the majority of the",women stopped and sat down,f,yes,f,yes,f,yes,f,yes
348,fathers-in-law,m,"The fathers-in-law were crossing the village. After a while, the majority of the",villagers realized that the fathers,m,no,n & m,yes,n,no,NULL,no
349,parents,n,"The parents were crossing the village. After a while, the majority of the",villagers had gathered around them,n,no,n,yes,n,no,n,no
350,mothers,f,"The mothers were crossing the village. After a while, the majority of the",mothers were walking on the,f,yes,f,yes,f,yes,f,yes
351,fathers,m,"The fathers were crossing the village. After a while, the majority of the",fathers were joined by their,m,yes,m,yes,m,yes,m,yes
352,children,n,"The children were crossing the village. After a while, the majority of the",children were tired and sat,n,yes,n,yes,n,yes,n,yes
353,daughters,f,"The daughters were crossing the village. After a while, the majority of the",daughters were in the village,f,yes,f,yes,f,yes,f,yes
354,sons,m,"The sons were crossing the village. After a while, the majority of the",people in the village were,m,no,n,UNSURE,n,no,n,no
355,spouses,n,"The spouses were crossing the village. After a while, the majority of the",people in the village were,n,no,n,UNSURE,n,no,n,no
356,wives,f,"The wives were crossing the village. After a while, the majority of the",wives were crossing the village,f,yes,f,yes,f,yes,f,yes
357,husbands,m,"The husbands were crossing the village. After a while, the majority of the",husbands were tired. The,m,yes,m,yes,m,yes,m,yes
358,grandparents,n,"The grandparents were leaving the hotel. With good weather expected, some of the",group were going to the,n,no,n,yes,n,yes,n,yes
359,grandmothers,f,"The grandmothers were leaving the hotel. With good weather expected, some of the",women decided to go to,f,yes,f,yes,f,yes,f,yes
360,grandfathers,m,"The grandfathers were leaving the hotel. With good weather expected, some of the",men decided to go fishing,m,yes,m,yes,m,yes,m,yes
361,monarchs,n,"The monarchs were leaving the hotel. With good weather expected, some of the",monarchs were released.,n,yes,n,yes,n,yes,n,yes
362,queens,f,"The queens were leaving the hotel. With good weather expected, some of the",queens were wearing hats.,f,yes,f,yes,f,yes,f,yes
363,kings,m,"The kings were leaving the hotel. With good weather expected, some of the",players were taking advantage of,m,no,n,no,n,no,n,no
364,siblings,n,"The siblings were leaving the hotel. With good weather expected, some of the",group were going to the,n,no,n,yes,n,yes,n,yes
365,sisters,f,"The sisters were leaving the hotel. With good weather expected, some of the",sisters decided to go to,f,yes,f,yes,f,yes,f,yes
366,brothers,m,"The brothers were leaving the hotel. With good weather expected, some of the",brothers were going to the,m,yes,m,yes,m,yes,m,yes
367,parents-in-law,n,"The parents-in-law were leaving the hotel. With good weather expected, some of the",guests were going to the,n,no,n,UNSURE,n,no,n,no
368,mothers-in-law,f,"The mothers-in-law were leaving the hotel. With good weather expected, some of the",mothers-in-law were going,f,yes,f,yes,f,yes,f,yes
369,fathers-in-law,m,"The fathers-in-law were leaving the hotel. With good weather expected, some of the",fathers-in-law were going,m,yes,m,yes,m,yes,m,yes
370,parents,n,"The parents were leaving the hotel. With good weather expected, some of the",children were going to the,n,no,n,no,n,no,n,no
371,mothers,f,"The mothers were leaving the hotel. With good weather expected, some of the",mothers were going to the,f,yes,f,yes,f,yes,f,yes
372,fathers,m,"The fathers were leaving the hotel. With good weather expected, some of the",fathers were going to the,m,yes,m,yes,m,yes,m,yes
373,children,n,"The children were leaving the hotel. With good weather expected, some of the",children were playing in the,n,yes,n,yes,n,yes,n,yes
374,daughters,f,"The daughters were leaving the hotel. With good weather expected, some of the",girls were going to the,f,yes,f,yes,f,yes,f,yes
375,sons,m,"The sons were leaving the hotel. With good weather expected, some of the",boys were going to the,m,yes,m,yes,m,yes,m,yes
376,spouses,n,"The spouses were leaving the hotel. With good weather expected, some of the",other guests were leaving as,n,no,n,no,n,no,n,no
377,wives,f,"The wives were leaving the hotel. With good weather expected, some of the",women were wearing summer dresses,f,yes,f,yes,f,yes,f,yes
378,husbands,m,"The husbands were leaving the hotel. With good weather expected, some of the",men were going to play,m,yes,m,yes,m,yes,m,yes
379,grandparents,n,The grandparents were leaving the castle. It was noticeable that one of the,grandfathers was leaving,n,yes,m,yes,m,yes,m,yes
380,grandmothers,f,The grandmothers were leaving the castle. It was noticeable that one of the,grandmothers was a,f,yes,f,yes,f,yes,f,yes
381,grandfathers,m,The grandfathers were leaving the castle. It was noticeable that one of the,grandfathers was a,m,yes,m,yes,m,yes,m,yes
382,monarchs,n,The monarchs were leaving the castle. It was noticeable that one of the,monarchs was a bit,n,yes,n,yes,n,yes,n,yes
383,queens,f,The queens were leaving the castle. It was noticeable that one of the,queens was not happy with,f,yes,f,yes,f,yes,f,yes
384,kings,m,The kings were leaving the castle. It was noticeable that one of the,kings was not happy about,m,yes,m,yes,m,yes,m,yes
385,siblings,n,The siblings were leaving the castle. It was noticeable that one of the," siblings was older, as",n,yes,n,yes,n,yes,n,yes
386,sisters,f,The sisters were leaving the castle. It was noticeable that one of the,sisters was carrying a large,f,yes,f,yes,f,yes,f,yes
387,brothers,m,The brothers were leaving the castle. It was noticeable that one of the,brothers was older than the,m,yes,m,yes,m,yes,m,yes
388,parents-in-law,n,The parents-in-law were leaving the castle. It was noticeable that one of the,two was not very happy,n,yes,n,yes,n,yes,n,yes
389,mothers-in-law,f,The mothers-in-law were leaving the castle. It was noticeable that one of the,two was a little more,f,yes,NULL,yes,n,yes,NULL,yes
390,fathers-in-law,m,The fathers-in-law were leaving the castle. It was noticeable that one of the,two was a little behind,m,yes,NULL,yes,n,yes,NULL,yes
391,parents,n,The parents were leaving the castle. It was noticeable that one of the,parents was a woman.,n,yes,n & f,yes,n,yes,n,yes
392,mothers,f,The mothers were leaving the castle. It was noticeable that one of the,mothers was carrying a baby,f,yes,f & n,yes,f,yes,f,yes
393,fathers,m,The fathers were leaving the castle. It was noticeable that one of the,fathers was a little drunk,m,yes,m,yes,m,yes,m,yes
394,children,n,The children were leaving the castle. It was noticeable that one of the,children was carrying a large,n,yes,n,yes,n,yes,n,yes
395,daughters,f,The daughters were leaving the castle. It was noticeable that one of the,daughters was carrying a large,f,yes,f,yes,f,yes,f,yes
396,sons,m,The sons were leaving the castle. It was noticeable that one of the,sons was carrying a bag,m,yes,m,yes,m,yes,m,yes
397,spouses,n,The spouses were leaving the castle. It was noticeable that one of the,spouses was very unhappy.,n,yes,n,yes,n,yes,n,yes
398,wives,f,The wives were leaving the castle. It was noticeable that one of the,wives was not leaving with,f,yes,f,yes,f,yes,f,yes
399,husbands,m,The husbands were leaving the castle. It was noticeable that one of the,husbands was not there.,m,yes,m,yes,m,yes,m,yes
400,grandparents,n,"The grandparents were crossing the park. After a while, several of the",children who were playing in,n,no,n,no,n,no,n,no
401,grandmothers,f,"The grandmothers were crossing the park. After a while, several of the",grandmothers had already,f,yes,f,yes,f,yes,f,yes
402,grandfathers,m,"The grandfathers were crossing the park. After a while, several of the",grandfathers had passed,m,yes,m,yes,m,yes,m,yes
403,monarchs,n,"The monarchs were crossing the park. After a while, several of the",monarchs were seen to,n,yes,n,yes,n,yes,n,yes
404,queens,f,"The queens were crossing the park. After a while, several of the",queens passed a tree.,f,yes,f,yes,f,yes,f,yes
405,kings,m,"The kings were crossing the park. After a while, several of the",kings were tired and stopped,m,yes,m,yes,m,yes,m,yes
406,siblings,n,"The siblings were crossing the park. After a while, several of the",children ran ahead. Two,n,no,n,UNSURE,n,yes,n,NULL
407,sisters,f,"The sisters were crossing the park. After a while, several of the",girls got tired and went,f,yes,f,yes,f,yes,f,yes
408,brothers,m,"The brothers were crossing the park. After a while, several of the",brothers were walking. How,m,yes,m,yes,m,yes,m,yes
409,parents-in-law,n,"The parents-in-law were crossing the park. After a while, several of the",children who were playing in,n,no,n,no,n,no,n,no
410,mothers-in-law,f,"The mothers-in-law were crossing the park. After a while, several of the",mothers-in-law were walking,f,yes,f,yes,f,yes,f,yes
411,fathers-in-law,m,"The fathers-in-law were crossing the park. After a while, several of the",fathers-in-law saw each,m,yes,m,yes,m,yes,m,yes
412,parents,n,"The parents were crossing the park. After a while, several of the",children began to complain about,n,no,n,no,n,no,n,no
413,mothers,f,"The mothers were crossing the park. After a while, several of the",mothers were talking to each,f,yes,f,yes,f,yes,f,yes
414,fathers,m,"The fathers were crossing the park. After a while, several of the",fathers were seen _______,m,yes,m,yes,m,yes,m,yes
415,children,n,"The children were crossing the park. After a while, several of the",children were missing. The,n,yes,n,yes,n,yes,n,yes
416,daughters,f,"The daughters were crossing the park. After a while, several of the",daughters got tired and stopped,f,yes,f,yes,f,yes,f,yes
417,sons,m,"The sons were crossing the park. After a while, several of the",boys were seen to be,m,yes,m,yes,m,yes,m,yes
418,spouses,n,"The spouses were crossing the park. After a while, several of the",spouses were crossing the park,n,yes,n,yes,n,yes,n,yes
